customer_id,Age,Gender,Category,Location,Season,Purchase Amount (USD),Previous Purchases,Review Rating,has_review,Subscription Status,is_subscriber,Discount Applied,discount_used,Payment Method,Shipping Type,Frequency of Purchases,frequency_score,engagement_score,loyalty_A,value_score,loyalty_B,discount_dependency_flag,satisfied_flag
78,22,Male,Clothing,Delaware,Summer,53,36,3.3,1,Yes,1,Yes,1,Debit Card,Next Day Air,Fortnightly,5,0.8,High Engagement,0.5633928571428571,Mid Value,1,0
79,50,Male,Clothing,Nebraska,Spring,91,50,4.7,1,Yes,1,Yes,1,Venmo,Free Shipping,Fortnightly,5,0.8,High Engagement,0.94375,High Value,1,1
80,38,Male,Outerwear,Iowa,Winter,96,43,2.6,1,Yes,1,Yes,1,Bank Transfer,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.9035714285714285,High Value,1,0
81,19,Male,Footwear,New York,Summer,72,24,3.8,0,Yes,1,Yes,1,Credit Card,Store Pickup,Every 3 Months,3,0.6,Medium Engagement,0.5596938775510204,Mid Value,1,0
82,67,Male,Footwear,Virginia,Summer,96,36,2.6,1,Yes,1,Yes,1,Credit Card,Express,Every 3 Months,3,0.6,Medium Engagement,0.8321428571428571,High Value,1,0
83,19,Male,Clothing,Georgia,Spring,28,21,4.0,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.2540816326530612,Low Value,1,1
84,36,Male,Clothing,Texas,Summer,40,34,4.1,1,Yes,1,Yes,1,Bank Transfer,Standard,Weekly,7,1.0,High Engagement,0.461734693877551,Mid Value,1,1
85,52,Male,Outerwear,Arizona,Spring,32,42,4.4,1,Yes,1,Yes,1,Bank Transfer,Standard,Every 3 Months,3,0.6,Medium Engagement,0.49336734693877554,Mid Value,1,1
86,53,Male,Accessories,New Mexico,Winter,95,2,4.5,1,Yes,1,Yes,1,Debit Card,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.4789540816326531,Mid Value,1,1
87,24,Male,Clothing,Nevada,Spring,41,47,3.7,1,Yes,1,Yes,1,Cash,2-Day Shipping,Bi-Weekly,6,0.9,High Engagement,0.6006377551020409,High Value,1,0
88,52,Male,Footwear,Ohio,Fall,53,44,3.7,1,Yes,1,Yes,1,Debit Card,2-Day Shipping,Fortnightly,5,0.8,High Engagement,0.6450255102040816,High Value,1,0
89,33,Male,Clothing,Wyoming,Fall,47,35,3.5,1,Yes,1,Yes,1,Credit Card,Free Shipping,Monthly,4,0.7,High Engagement,0.5156887755102041,Mid Value,1,0
90,47,Male,Outerwear,California,Fall,83,15,3.6,1,Yes,1,Yes,1,Cash,Next Day Air,Quarterly,3,0.6,Medium Engagement,0.5366071428571428,Mid Value,1,0
91,25,Male,Accessories,South Carolina,Summer,48,29,2.9,1,Yes,1,Yes,1,Credit Card,Express,Monthly,4,0.7,High Engagement,0.4607142857142857,Mid Value,1,0
92,44,Male,Accessories,South Carolina,Winter,99,18,4.6,1,Yes,1,Yes,1,Credit Card,Standard,Every 3 Months,3,0.6,Medium Engagement,0.667219387755102,High Value,1,1
93,61,Male,Outerwear,Texas,Winter,87,13,4.4,1,Yes,1,Yes,1,Venmo,2-Day Shipping,Every 3 Months,3,0.6,Medium Engagement,0.5411989795918367,Mid Value,1,1
94,37,Male,Clothing,Florida,Fall,62,46,4.5,1,Yes,1,Yes,1,Credit Card,Standard,Weekly,7,1.0,High Engagement,0.7216836734693878,High Value,1,1
95,58,Male,Clothing,Nevada,Spring,76,28,4.6,1,Yes,1,Yes,1,Credit Card,Free Shipping,Weekly,7,1.0,High Engagement,0.6255102040816326,High Value,1,1
96,37,Male,Footwear,Missouri,Fall,100,48,3.8,1,Yes,1,Yes,1,PayPal,Free Shipping,Monthly,4,0.7,High Engagement,0.9795918367346939,High Value,1,0
97,32,Male,Accessories,Delaware,Spring,73,43,3.8,0,Yes,1,Yes,1,Venmo,Express,Every 3 Months,3,0.6,Medium Engagement,0.7598214285714285,High Value,1,0
98,21,Male,Footwear,Virginia,Winter,92,37,4.8,1,Yes,1,Yes,1,Cash,Store Pickup,Annually,1,0.4,Medium Engagement,0.8173469387755102,High Value,1,1
99,20,Male,Clothing,New York,Spring,67,20,2.6,1,Yes,1,Yes,1,Bank Transfer,Next Day Air,Annually,1,0.4,Medium Engagement,0.48762755102040817,Mid Value,1,0
100,26,Male,Clothing,Missouri,Summer,40,33,3.7,1,Yes,1,Yes,1,Debit Card,Express,Quarterly,3,0.6,Medium Engagement,0.45153061224489793,Mid Value,1,0
101,62,Male,Accessories,South Dakota,Fall,98,31,2.7,1,Yes,1,Yes,1,Cash,Express,Fortnightly,5,0.8,High Engagement,0.7936224489795918,High Value,1,0
102,27,Male,Outerwear,North Dakota,Spring,85,50,4.6,1,Yes,1,Yes,1,Credit Card,Express,Bi-Weekly,6,0.9,High Engagement,0.90625,High Value,1,1
103,51,Male,Clothing,Oklahoma,Winter,67,35,4.8,1,Yes,1,Yes,1,Credit Card,Next Day Air,Quarterly,3,0.6,Medium Engagement,0.6406887755102041,High Value,1,1
104,54,Male,Footwear,West Virginia,Winter,89,22,4.0,1,Yes,1,Yes,1,Venmo,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.6455357142857143,High Value,1,1
105,55,Male,Accessories,New Hampshire,Spring,24,1,4.4,1,Yes,1,Yes,1,PayPal,2-Day Shipping,Monthly,4,0.7,High Engagement,0.025,Low Value,1,1
106,69,Male,Accessories,New York,Fall,96,4,3.6,1,Yes,1,Yes,1,Bank Transfer,Next Day Air,Annually,1,0.4,Medium Engagement,0.5056122448979592,Mid Value,1,0
107,64,Male,Outerwear,Minnesota,Summer,35,31,3.7,1,Yes,1,Yes,1,Credit Card,Standard,Monthly,4,0.7,High Engagement,0.39987244897959184,Low Value,1,0
108,28,Male,Footwear,Maryland,Winter,67,46,3.1,1,Yes,1,Yes,1,PayPal,Next Day Air,Fortnightly,5,0.8,High Engagement,0.7529336734693878,High Value,1,0
109,70,Male,Clothing,Montana,Spring,79,32,3.4,1,Yes,1,Yes,1,Bank Transfer,Next Day Air,Bi-Weekly,6,0.9,High Engagement,0.6850765306122449,High Value,1,0
110,58,Male,Clothing,Alabama,Spring,85,43,2.6,1,Yes,1,Yes,1,Bank Transfer,Next Day Air,Fortnightly,5,0.8,High Engagement,0.8348214285714286,High Value,1,0
111,56,Male,Accessories,New York,Summer,26,26,4.0,1,Yes,1,Yes,1,Venmo,Standard,Fortnightly,5,0.8,High Engagement,0.2926020408163265,Low Value,1,1
112,26,Male,Accessories,Massachusetts,Summer,75,9,5.0,1,Yes,1,Yes,1,Credit Card,Free Shipping,Annually,1,0.4,Medium Engagement,0.42538265306122447,Mid Value,1,1
113,37,Male,Accessories,Florida,Spring,65,28,4.3,1,Yes,1,Yes,1,PayPal,Free Shipping,Bi-Weekly,6,0.9,High Engagement,0.5567602040816326,Mid Value,1,1
114,44,Male,Accessories,New Jersey,Winter,54,20,3.1,1,Yes,1,Yes,1,PayPal,Next Day Air,Quarterly,3,0.6,Medium Engagement,0.4063775510204082,Mid Value,1,0
115,70,Male,Outerwear,Massachusetts,Summer,95,9,3.7,1,Yes,1,Yes,1,Cash,Store Pickup,Weekly,7,1.0,High Engagement,0.5503826530612245,Mid Value,1,0
116,53,Male,Clothing,Wyoming,Spring,94,48,3.8,1,Yes,1,Yes,1,Debit Card,Standard,Every 3 Months,3,0.6,Medium Engagement,0.9420918367346939,High Value,1,0
117,55,Male,Footwear,Virginia,Spring,86,12,3.4,1,Yes,1,Yes,1,Venmo,Free Shipping,Annually,1,0.4,Medium Engagement,0.5247448979591837,Mid Value,1,0
118,50,Male,Footwear,South Dakota,Summer,32,29,4.6,1,Yes,1,Yes,1,Cash,Express,Fortnightly,5,0.8,High Engagement,0.3607142857142857,Low Value,1,1
119,50,Male,Clothing,Kentucky,Fall,45,27,4.8,1,Yes,1,Yes,1,Cash,2-Day Shipping,Bi-Weekly,6,0.9,High Engagement,0.4215561224489796,Mid Value,1,1
120,38,Male,Outerwear,Wyoming,Fall,76,44,4.3,1,Yes,1,Yes,1,Cash,Express,Annually,1,0.4,Medium Engagement,0.7887755102040817,High Value,1,1
121,64,Male,Accessories,West Virginia,Summer,84,32,4.0,1,Yes,1,Yes,1,Bank Transfer,Express,Annually,1,0.4,Medium Engagement,0.7163265306122449,High Value,1,1
122,19,Male,Clothing,Virginia,Winter,72,11,4.2,1,Yes,1,Yes,1,Cash,Standard,Fortnightly,5,0.8,High Engagement,0.4270408163265306,Mid Value,1,1
123,40,Male,Accessories,Washington,Spring,40,44,4.8,1,Yes,1,Yes,1,Cash,2-Day Shipping,Fortnightly,5,0.8,High Engagement,0.5637755102040816,Mid Value,1,1
124,57,Male,Clothing,Louisiana,Fall,89,46,3.1,1,Yes,1,Yes,1,Cash,Free Shipping,Weekly,7,1.0,High Engagement,0.8904336734693878,High Value,1,0
125,44,Male,Clothing,Nevada,Spring,86,50,3.1,1,Yes,1,Yes,1,PayPal,Next Day Air,Annually,1,0.4,Medium Engagement,0.9125,High Value,1,0
126,49,Male,Clothing,California,Winter,54,45,3.6,1,Yes,1,Yes,1,Venmo,Next Day Air,Every 3 Months,3,0.6,Medium Engagement,0.6614795918367347,High Value,1,0
127,43,Male,Clothing,Mississippi,Spring,36,48,3.9,1,Yes,1,Yes,1,Cash,Store Pickup,Every 3 Months,3,0.6,Medium Engagement,0.5795918367346938,Mid Value,1,0
128,24,Male,Clothing,Mississippi,Winter,89,26,4.8,1,Yes,1,Yes,1,Credit Card,Next Day Air,Weekly,7,1.0,High Engagement,0.6863520408163266,High Value,1,1
129,20,Male,Accessories,California,Spring,32,21,4.7,1,Yes,1,Yes,1,Credit Card,Standard,Fortnightly,5,0.8,High Engagement,0.27908163265306124,Low Value,1,1
130,24,Male,Clothing,Pennsylvania,Summer,67,49,4.2,1,Yes,1,Yes,1,PayPal,2-Day Shipping,Bi-Weekly,6,0.9,High Engagement,0.783545918367347,High Value,1,1
131,44,Male,Accessories,Kentucky,Fall,39,13,3.7,1,Yes,1,Yes,1,PayPal,Next Day Air,Fortnightly,5,0.8,High Engagement,0.24119897959183673,Low Value,1,0
132,28,Male,Clothing,Maine,Summer,29,46,3.9,1,Yes,1,Yes,1,Credit Card,Standard,Weekly,7,1.0,High Engagement,0.5154336734693877,Mid Value,1,0
133,30,Male,Accessories,New Mexico,Fall,58,42,4.7,1,Yes,1,Yes,1,PayPal,2-Day Shipping,Weekly,7,1.0,High Engagement,0.6558673469387755,High Value,1,1
134,52,Male,Clothing,Montana,Winter,65,25,2.5,1,Yes,1,Yes,1,Venmo,Next Day Air,Annually,1,0.4,Medium Engagement,0.5261479591836735,Mid Value,1,0
135,43,Male,Accessories,Texas,Fall,94,25,4.9,1,Yes,1,Yes,1,Cash,Store Pickup,Monthly,4,0.7,High Engagement,0.7073979591836734,High Value,1,1
136,43,Male,Footwear,Kansas,Fall,81,12,4.1,1,Yes,1,Yes,1,PayPal,Express,Quarterly,3,0.6,Medium Engagement,0.49349489795918366,Mid Value,1,1
137,39,Male,Clothing,South Carolina,Winter,86,4,3.3,1,Yes,1,Yes,1,Debit Card,Free Shipping,Quarterly,3,0.6,Medium Engagement,0.44311224489795914,Mid Value,1,0
138,68,Male,Footwear,Colorado,Spring,43,38,4.7,1,Yes,1,Yes,1,PayPal,Free Shipping,Weekly,7,1.0,High Engagement,0.5213010204081632,Mid Value,1,1
139,68,Male,Clothing,Georgia,Winter,29,42,4.4,1,Yes,1,Yes,1,Bank Transfer,Store Pickup,Weekly,7,1.0,High Engagement,0.47461734693877555,Mid Value,1,1
140,49,Male,Outerwear,Florida,Fall,95,30,3.8,1,Yes,1,Yes,1,Venmo,Store Pickup,Annually,1,0.4,Medium Engagement,0.7646683673469388,High Value,1,0
141,63,Male,Clothing,North Carolina,Fall,28,50,3.9,1,Yes,1,Yes,1,Credit Card,2-Day Shipping,Weekly,7,1.0,High Engagement,0.55,Mid Value,1,0
142,56,Male,Accessories,Virginia,Fall,46,45,4.9,1,Yes,1,Yes,1,PayPal,Free Shipping,Weekly,7,1.0,High Engagement,0.6114795918367347,High Value,1,1
143,37,Male,Outerwear,Nebraska,Fall,58,33,3.1,1,Yes,1,Yes,1,Credit Card,Free Shipping,Fortnightly,5,0.8,High Engagement,0.5640306122448979,Mid Value,1,0
144,30,Male,Outerwear,Missouri,Fall,48,25,2.7,1,Yes,1,Yes,1,PayPal,Store Pickup,Quarterly,3,0.6,Medium Engagement,0.41989795918367345,Mid Value,1,0
145,19,Male,Footwear,New Jersey,Fall,43,25,3.2,1,Yes,1,Yes,1,Cash,Express,Monthly,4,0.7,High Engagement,0.38864795918367345,Low Value,1,0
146,24,Male,Accessories,Missouri,Fall,95,44,4.5,1,Yes,1,Yes,1,Debit Card,Standard,Quarterly,3,0.6,Medium Engagement,0.9075255102040816,High Value,1,1
147,52,Male,Clothing,Colorado,Fall,30,21,4.0,1,Yes,1,Yes,1,Venmo,Standard,Fortnightly,5,0.8,High Engagement,0.26658163265306123,Low Value,1,1
148,63,Male,Footwear,Idaho,Summer,64,31,3.5,1,Yes,1,Yes,1,Bank Transfer,2-Day Shipping,Fortnightly,5,0.8,High Engagement,0.5811224489795919,Mid Value,1,0
149,37,Male,Accessories,Wyoming,Fall,90,47,2.6,1,Yes,1,Yes,1,Debit Card,Store Pickup,Annually,1,0.4,Medium Engagement,0.9068877551020409,High Value,1,0
